#	Function Name	Class	Category	Signature	Return Type	Description	Algorithm / Implementation	Parameters	Example Usage	Performance Notes	Used In
11	CalculateBusinessDays	DateTimeFunctions	Date & Time	(start, end)	INT	Counts business days (Monday-Friday) between two dates, inclusive of both endpoints.	Iterates day by day from start to end, increments counter for weekdays. Automatically swaps if start > end.	@start DATETIME, @end DATETIME	SELECT dbo.CalculateBusinessDays('2024-01-01', '2024-01-05') -- Returns: 5	Fast — O(n) where n = days difference. Use for small date ranges.	sp_TimeToHireReport, SLA calculations
12	AddBusinessDays	DateTimeFunctions	Date & Time	(date, n)	DATETIME	Adds specified number of business days (Mon-Fri) to a date, skipping weekends.	Loops day by day, adding/subtracting days and skipping weekends until desired business days reached.	@startDate DATETIME, @days INT	SELECT dbo.AddBusinessDays('2024-01-01', 5) -- Returns: 2024-01-08 (Mon)	Fast for small n. For large n (>100), consider optimized algorithm.	Interview scheduling, deadline calculations
13	IsWithinWorkingHours	DateTimeFunctions	Date & Time	(dt, sh, eh)	BIT	Returns 1 if datetime falls on weekday AND between specified start and end hours.	Checks if day is Saturday/Sunday, then checks if hour is between startHour (inclusive) and endHour (exclusive).	@dt DATETIME, @startHour INT, @endHour INT	SELECT dbo.IsWithinWorkingHours('2024-06-10 10:30', 9, 17) -- Returns: 1	Very fast — simple comparisons.	Off-hours application detection, SLA monitoring
14	GetRelativeTime	DateTimeFunctions	Date & Time	(dt)	NVARCHAR(100)	Converts past datetime to human-readable string like "3 hours ago" or "2 days ago".	Computes TimeSpan between input and DateTime.Now. Selects appropriate unit: seconds→minutes→hours→days→weeks→months→years.	@dt DATETIME	SELECT dbo.GetRelativeTime(DATEADD(MINUTE,-30, GETDATE())) -- "30 minutes ago"	Fast — simple TimeSpan math. Non-deterministic (calls DateTime.Now).	UI display, activity feeds, dashboards
15	ConvertTimezone	TimezoneFunctions	Timezone	(dt, from, to)	DATETIME	Converts datetime from one Windows timezone to another using .NET TimeZoneInfo.	Calls TimeZoneInfo.FindSystemTimeZoneById() for both timezones, converts input to UTC using source, then UTC to destination. Handles DST.	@dt DATETIME, @fromTz NVARCHAR(100), @toTz NVARCHAR(100)	SELECT dbo.ConvertTimezone('2024-06-15 14:00', 'Bangladesh Standard Time', 'Eastern Standard Time')	Medium — timezone lookup + conversion. Returns NULL if timezone ID invalid.	sp_ScheduleInterviewWithTimezone, global scheduling
16	GetTimezoneOffset	TimezoneFunctions	Timezone	(tzName)	NVARCHAR(20)	Returns current UTC offset of a Windows timezone as formatted string.	Gets current offset for timezone using TimeZoneInfo.GetUtcOffset(DateTime.UtcNow), formats as "UTC+06:00" or "UTC-05:00".	@timezoneName NVARCHAR(100)	SELECT dbo.GetTimezoneOffset('Bangladesh Standard Time') -- Returns: UTC+06:00	Fast — offset calculation.	Display timezone info, candidate profiles
17	CalculateTimezoneOverlap	TimezoneFunctions	Timezone	(tz1,tz2,sh,eh)	INT	Calculates overlapping working hours between two timezones in same working day.	Converts working hours (startHour-endHour) in both timezones to UTC, finds intersection of UTC ranges, returns hours of overlap.	@tz1 NVARCHAR(100), @tz2 NVARCHAR(100), @startHour INT, @endHour INT	SELECT dbo.CalculateTimezoneOverlap('Bangladesh Standard Time', 'Eastern Standard Time', 9, 17)	Medium — multiple timezone conversions.	Remote team scheduling, candidate-job timezone matching
18	StandardDeviation	StatisticalFunctions	Statistics	(csv)	FLOAT	Computes population standard deviation of numbers in comma-separated string.	Parses CSV into double array, computes mean, returns SQRT(SUM((x-mean)²)/N) using population formula.	@values NVARCHAR(MAX)	SELECT dbo.StandardDeviation('10,20,30,40,50') -- Returns: ~14.14	Medium — O(n) with parsing overhead.	sp_InterviewerConsistencyCLR, scoring variance analysis
19	Percentile	StatisticalFunctions	Statistics	(csv, p)	FLOAT	Computes Nth percentile of numbers using linear interpolation between adjacent values.	Sorts values, computes fractional index idx = (N-1)×(p/100), interpolates linearly between floor(idx) and ceiling(idx).	@values NVARCHAR(MAX), @percentile FLOAT (0-100)	SELECT dbo.Percentile('10,20,30,40,50,60,70,80,90,100', 50) -- Returns: 55 (median)	Medium — sorting + interpolation.	Salary benchmarks, performance quartiles
20	ZScore	StatisticalFunctions	Statistics	(val, mean, sd)	FLOAT	Computes Z-score: how many standard deviations a value is from the mean.	Returns (value - mean) / stdDev. Returns NULL if stdDev = 0.	@value FLOAT, @mean FLOAT, @stdDev FLOAT	SELECT dbo.ZScore(75, 50, 15) -- Returns: 1.667	Very fast — simple arithmetic.	Outlier detection, candidate scoring normalization
21	CorrelationCoefficient	StatisticalFunctions	Statistics	(csv1, csv2)	FLOAT	Computes Pearson correlation coefficient between two equal-length numeric series.	Parses both CSV arrays, computes means, calculates sum of cross-deviations and product of squared deviations, returns r = numerator/√(denominator).	@vals1 NVARCHAR(MAX), @vals2 NVARCHAR(MAX)	SELECT dbo.CorrelationCoefficient('1,2,3,4,5', '2,4,6,8,10') -- Returns: 1.0	Medium — O(n) with multiple passes.	Experience-salary correlation, skill-performance analysis
22	ExtractTextFromPDF	DocumentParser	Document Parsing	(bytes)	NVARCHAR(MAX)	Extracts readable text from PDF stored as VARBINARY(MAX). Works on PDFs with text layer.	Decodes raw bytes as Latin-1, searches for PDF text stream operators: literal strings (text) Tj and hex strings <hex> Tj, concatenates all found text.	@pdfBytes VARBINARY(MAX)	UPDATE Candidates SET ResumeText = dbo.ExtractTextFromPDF(ResumeFile)	Medium-slow — scans entire PDF. Process in batches off-peak.	sp_ProcessCandidateResume, resume parsing
23	ExtractTextFromDocx	DocumentParser	Document Parsing	(bytes)	NVARCHAR(MAX)	Extracts readable text from DOCX file stored as VARBINARY(MAX) by scanning for <w:t> XML nodes.	Interprets binary as UTF-8, uses regex to find all <w:t...>content</w:t> XML elements (OOXML text element), concatenates and normalizes whitespace.	@docxBytes VARBINARY(MAX)	UPDATE Candidates SET ResumeText = dbo.ExtractTextFromDocx(ResumeFile) WHERE ResumeFileName LIKE '%.docx'	Medium — XML parsing overhead.	sp_ProcessCandidateResume, DOCX resume parsing
24	ExtractYearsOfExperience	DocumentParser	Document Parsing	(text)	INT	Parses resume text and returns maximum years of experience found using three pattern-matching strategies.	Strategy A: explicit mentions "5 years experience", Strategy B: "Experience: 5 years", Strategy C: date ranges "2018-2023". Returns MAX value found.	@resumeText NVARCHAR(MAX)	SELECT dbo.ExtractYearsOfExperience('5 years of experience in Java') -- Returns: 5	Fast — regex pattern matching. Heuristic, review before use.	sp_ProcessCandidateResume, auto-populate experience
25	ExtractSkills	NLPProcessor	NLP	(text)	NVARCHAR(MAX)	Identifies technical skills from text using keyword matching against built-in dictionary of 40+ skills. Returns "skill:confidence" CSV.	Converts to lowercase, for each skill in dictionary counts all alias occurrences using Regex, confidence = min(occurrences×10, 100), returns sorted by confidence.	@resumeText NVARCHAR(MAX)	SELECT dbo.ExtractSkills('Java Spring Boot with Docker') -- Returns: java:30,spring:30,docker:10	Medium — dictionary size × text length. Process in batches.	sp_ProcessCandidateResume, skill extraction from resumes/JDs
26	CalculateSentiment	NLPProcessor	NLP	(text)	FLOAT	Analyses text sentiment by comparing positive and negative word frequencies against built-in lexicons. Returns -1.0 to +1.0.	Splits into words, counts matches against 36-word positive lexicon and 32-word negative lexicon, score = (pos-neg)/total_words×20, clamped to [-1.0,+1.0].	@text NVARCHAR(MAX)	SELECT dbo.CalculateSentiment('Excellent candidate!') -- ~+0.2	Fast — lexicon lookup O(n). Lexicon-based, no negation understanding.	trg_ScoreSentiment_OnFeedbackInsert, feedback analysis
27	CallRESTApi	ApiIntegration	API Integration	(url,method,body,hdrs)	NVARCHAR(MAX)	Makes HTTP request to REST endpoint and returns full response as JSON string.	Creates HttpClient, sends request with specified method/body/headers, returns response content or error JSON. Timeout 30 seconds.	@url NVARCHAR(1000), @method NVARCHAR(10), @body NVARCHAR(MAX), @headers NVARCHAR(500)	SELECT dbo.CallRESTApi('https://api.example.com/jobs', 'GET', NULL, NULL)	Slow — network latency. Requires EXTERNAL_ACCESS permission.	External API integration, HR system sync
28	VerifyLinkedInProfile	ApiIntegration	API Integration	(url, token)	NVARCHAR(MAX)	Verifies LinkedIn profile URL is reachable by making HEAD request and checking HTTP response code.	Makes HEAD request to URL, checks status code. Treats 999/403 as "exists but blocked" (verified:true). Returns JSON with verification result.	@profileUrl NVARCHAR(500), @accessToken NVARCHAR(500)	SELECT dbo.VerifyLinkedInProfile('https://linkedin.com/in/username', NULL)	Slow — network latency. LinkedIn returns 999 for bot protection.	Candidate profile validation, import validation
29	GeocodeAddress	ApiIntegration	API Integration	(address, key)	NVARCHAR(MAX)	Geocodes plain-text address to coordinates using OpenStreetMap Nominatim (free) or Google Maps (requires key).	Calls OpenStreetMap Nominatim (if key NULL) or Google Maps Geocoding API with address, returns raw JSON response.	@address NVARCHAR(500), @apiKey NVARCHAR(200)	SELECT dbo.GeocodeAddress('Dhaka, Bangladesh', NULL)	Slow — network latency + external API rate limits.	Location validation, distance calculations
